id,doi,year,auteurs,title,review,keywords,text,methods,fields,remarque,,,,,,,,,,,,,,,,,,,,,
58,,2020,"Pitt, Christine S.; Bal, Anjali Suniti; Plangger, Kirk","New approaches to psychographic consumer segmentation: Exploring fine art collectors using artificial intelligence, automated text analysis and correspondence analysis",European Journal of Marketing,"Correspondance analysis, Artificial Intelligence, Art collectors, Psychographics segmentation, Quantitative analysis of qualitative data, automated text analysys, psychographic consumer segmentation","While the motivation for collecting art has received considerable attention in the literature, less is known about the characteristics of the typical art collector. This paper aims to explore these characteristics to develop a typology of art consumers using a mixed method approach over several studies. This is achieved by analyzing qualitative data, gathered via semi-structured interviews of art collectors, and quantitatively by means of natural language processing analysis and automated text analysis and using correspondence analysis to analyze and present the results.The study’s findings reveal four distinct clusters of art collectors based on their “Big Five” personality traits, as well as uncovering insights into how these types talk about their possessions. In addition to contributing to the arts marketing literature, the findings provide a more nuanced understanding of consumers that managers can use for market segmentation and target marketing decisions in other markets. The paper also offers a methodological contribution to the literature on correspondence analysis by demonstrating the “doubling” procedure to deal with percentile data. In addition to contributing to the arts marketing literature, the findings provide a more nuanced understanding of art collectors that managers can use for market segmentation and target marketing decisions. The paper also offers a methodological contribution to the literature on correspondence analysis by demonstrating a non-traditional application of correspondence analysis using the “doubling” procedure. Buyer behavior in the fine art market is not exhaustively studied. By understanding the personality traits of consumers in the art market, sales forces can better provide assistance and product to consumers. Further, understanding the personalities of consumers is better for art retail spaces to better serve consumers. This paper demonstrates a unique mixed methods approach to analyzing unstructured qualitative data. It shows how text data can be used to identify measurable market segments for which targeted strategies can be developed.",,,,,,,,,,,,,,,,,,,,,,,,
59,,2020,"Zaki, Mohamed; McColl-Kennedy, Janet R.",Text mining analysis roadmap (TMAR) for service research,Journal of Services Marketing,"Text mining, Service research, Machine learning, Natural language processinf, Qualitative research, Artificial Intelligence","The purpose of this paper is to offer a step-by-step text mining analysis roadmap (TMAR) for service researchers. The paper provides guidance on how to choose between alternative tools, using illustrative examples from a range of business contexts. The authors provide a six-stage TMAR on how to use text mining methods in practice. At each stage, the authors provide a guiding question, articulate the aim, identify a range of methods and demonstrate how machine learning and linguistic techniques can be used in practice with illustrative examples drawn from business, from an array of data types, services and contexts. At each of the six stages, this paper demonstrates useful insights that result from the text mining techniques to provide an in-depth understanding of the phenomenon and actionable insights for research and practice. There is little research to guide scholars and practitioners on how to gain insights from the extensive “big data” that arises from the different data sources. In a first, this paper addresses this important gap highlighting the advantages of using text mining to gain useful insights for theory testing and practice in different service contexts.",,,,,,,,,,,,,,,,,,,,,,,,
60,,2020,"Zhang, Wenping; Kang, Lele; Jiang, Qiqi; Pei, Lei",A 2020 perspective on “From buzz to bucks: The impact of social media opinions on the locus of innovation”: From surfaces to essences,Electronic Commerce Research and Applications,"Social media,Organization ,innovation, Machine learning, Text mining, Empirical analysis","Social media is believed as a privileged vehicle affording numerous ideas with multi-faceted insights from the crowds. In addition to the entertainment resource, social media, user-generated content (UGC) there, can also empower ideation and commercialization of innovation. We have proposed a novel approach to explore the pivotal role of social media in shaping corporation innovation performance in our article in 2018. In this commentary, we extend the literature review with more recent insights and identify the new possible directions to further inspire future research. Specifically, understanding the linkage between social media and organization innovation can be enriched via advancing deep learning methods, improving multi-modal data analysis, and fostering digital innovation.",literature review,none,,,,,,,,,,,,,,,,,,,,,,
61,,2021,"Balech Sophie,  Benavent Christophe, Pauline de pechpeyrou",Online Reviews and Reading Strategies: The Airbnb Case.,Marketing trends,"platform economy, online reviews, signal theory, sentiment analysis, reading strategies","The platform economy mostly relies on implementing a trust generating system, through rating and reputation mechanisms. Our research aims to arrive at a better understanding of the dynamics of online bookings on the Airbnb platform through the lens of online reviews. The dataset covers the available offers in Paris in June 2019 and includes282057) frenchs reviews. Several nested linear regressions are compared, which include the characteristics of the offer, host strategy, the signals regarding host quality, ratings and sentimùents analysis, the results confirm an interaction beween review expressinfg a positive sentiment and and reviews expressing a negative sentiment: offers with mixed content generate the highest booking rate.","sentiment analysis, econometrics","very large sample, AIrbnb, reviews",,,,,,,,,,,,,,,,,,,,,,
62,,2021,"Berger, Jonah; Kim, Yoon Duk; Meyer, Robert",What Makes Content Engaging? How Emotional Dynamics Shape Success,Journal of Consumer Research,"narratives, natural language processing, experiences, movies, automated textual analysis","Some cultural products (e.g., books and movies) catch on and become popular, while others fail. Why? While some have argued that success is unpredictable, we suggest that period-to-period shifts in sentiment—what we term sentiment volatility—enhance engagement. Automated sentiment analysis of over 4,000 movies demonstrates that more volatile movies are evaluated more positively. Consistent with the notion that sentiment volatility makes experiences more stimulating, the effect is stronger in genres where evaluations are more likely to be driven stimulation (i.e., thrillers rather than romance). Further, analysis of over 30,000 online articles demonstrate that people are more likely to continue reading more volatile articles. By manipulating sentiment volatility in follow-up experiments, we underscore its causal impact on evaluations, and provide evidence for the role of stimulation in these effects. Taken together, the results shed light on what drives engagement, the time dynamics of sentiment, and cultural analytics or why some cultural items are more successful.","Liwc, sentiment analysis, logit","movies, imdb",,,,,,,,,,,,,,,,,,,,,,
63,,2021,"Dhillon, Paramveer S.; Aral, Sinan",Modeling Dynamic User Interests: A Neural Matrix Factorization Approach,Marketing Science,"Artificial neural networks, Consumption (Economics), Matrix decomposition,Dynamic models, Neuroplasticity,deep learning, digital marketing, machine learning,natural language processing,user profiling","In recent years, there has been significant interest in understanding users' online content consumption patterns. But the unstructured, high-dimensional, and dynamic nature of such data makes extracting valuable insights challenging. Here we propose a model that combines the simplicity of matrix factorization with the flexibility of neural networks to efficiently extract nonlinear patterns from massive text data collections relevant to consumers' online consumption patterns. Our model decomposes a user's content consumption journey into nonlinear user and content factors that are used to model their dynamic interests. This natural decomposition allows us to summarize each user's content consumption journey with a dynamic probabilistic weighting over a set of underlying content attributes. The model is fast to estimate, easy to interpret, and can harness external data sources as an empirical prior. These advantages make our method well suited to the challenges posed by modern data sets used by digital marketers. We use our model to understand the dynamic news consumption interests of Boston Globe readers over five years. Thorough qualitative studies, including a crowdsourced evaluation, highlight our model's ability to accurately identify nuanced and coherent consumption patterns. These results are supported by our model's superior and robust predictive performance over several competitive baseline methods. We propose an interpretable model that combines the simplicity of matrix factorization with the flexibility of neural networks to model evolving user interests by efficiently extracting nonlinear patterns from massive text data collections",,,,,,,,,,,,,,,,,,,,,,,,
64,10.1177/00222437211054601,2021,"Grewal, Rajdeep; Gupta, Sachin; Hamilton, Rebecca","Marketing Insights from Multimedia Data: Text, Image, Audio, and Video",Journal of Marketing Research,"images, multi-modal, special issue, Multimedia, texte, image, audio, video","Today, both marketing practitioners and researchers have access to a wide variety of multimedia data, such as combinations of text from social media posts and online reviews, images and videos posted on Instagram or Snapchat, and audio data from customer service interactions. Despite the potential of multimedia data to provide rich insight for marketing research and marketing practice, the field has only just begun to tackle its formidable theoretical and methodological challenges and benefit from the substantive insights it allows us to uncover. This special issue intends to bring together cutting-edge research using one or more types of multimedia data to address both methodological and substantive topics related to the broad discipline of marketing.",litterature review,marketing insight,à exploiter pour les refs,,,,,,,,,,,,,,,,,,,,,à exploiter pour les refs
65,,2021,"Hartmann, Jochen; Heitmann, Mark; Schamp, Christina; Netzer, Oded",The Power of Brand Selfies,Journal of Marketing Research,"user-generated content, social media, image analysis, deep learning, natural language processing, interpretable machine learning","Smartphones have made it nearly effortless to share images of branded experiences. This research classifies social media brand imagery and studies user response. Aside from packshots (standalone product images), two types of brand-related selfie images appear online: consumer selfies (featuring brands and consumers’ faces) and an emerging phenomenon the authors term “brand selfies” (invisible consumers holding a branded product). The authors use convolutional neural networks to identify these archetypes and train language models to infer social media response to more than a quarter-million brand-image posts (185 brands on Twitter and Instagram). They find that consumer-selfie images receive more sender engagement (i.e., likes and comments), whereas brand selfies result in more brand engagement, expressed by purchase intentions. These results cast doubt on whether conventional social media metrics are appropriate indicators of brand engagement. Results for display ads are consistent with this observation, with higher click-through rates for brand selfies than for consumer selfies. A controlled lab experiment suggests that self-reference is driving the differential response to selfie images. Collectively, these results demonstrate how (interpretable) machine learning helps extract marketing-relevant information from unstructured multimedia content and that selfie images are a matter of perspective in terms of actual brand engagement.","CNN, ML, ",,,,,,,,,,,,,,,,,,,,,,,
66,,2021,"Hovy, Dirk; Melumad, Shiri; Inman, J Jeffrey",Wordify : A Tool for Discovering and Differentiating Consumer Vocabularies,Journal of Consumer Research,"text analysis, natural language processing, language, sentiment analysis","This work describes and illustrates a free and easy-to-use online text-analysis tool for understanding how consumer word use varies across contexts. The tool, Wordify, uses randomized logistic regression (RLR) to identify the words that best discriminate texts drawn from different pre-classified corpora, such as posts written by men versus women, or texts containing mostly negative versus positive valence. We present illustrative examples to show how the tool can be used for such diverse purposes as (1) uncovering the distinctive vocabularies that consumers use when writing reviews on smartphones versus PCs, (2) discovering how the words used in Tweets differ between presumed supporters and opponents of a controversial ad, and (3) expanding the dictionaries of dictionary-based sentiment-measurement tools. We show empirically that Wordify’s RLR algorithm performs better at discriminating vocabularies than support vector machines and chi-square selectors, while offering significant advantages in computing time. A discussion is also provided on the use of Wordify in conjunction with other text-analysis tools, such as probabilistic topic modeling and sentiment analysis, to gain more profound knowledge of the role of language in consumer behavior.",,,,,,,,,,,,,,,,,,,,,,,,
67,,2021,"Jedidi, Kamel; Schmitt, Bernd H.; Ben Sliman, Malek; Li, Yanyan",R2M Index 1.0: Assessing the Practical Relevance of Academic Marketing Articles,Journal of Marketing,"information retrieval, marketing, marketing theory, marketing practice‌, relevance, topic modeling","Using text-mining, the authors develop version 1.0 of the Relevance to Marketing (R2M) Index, a dynamic index that measures the topical and timely relevance of academic marketing articles to marketing practice. The index assesses topical relevance drawing on a dictionary of marketing terms derived from 50,000 marketing articles published in practitioner outlets from 1982 to 2019. Timely relevance is based on the prevalence of academic marketing topics in practitioner publications at a given time. The authors classify topics into four quadrants based on their low/high popularity in academia and practice —“Desert,” “Academic Island,” “Executive Fields,” and “Highlands”—and score academic articles and journals: Journal of Marketing has the highest R2M score, followed by Marketing Science, Journal of Marketing Research, and Journal of Consumer Research. The index correlates with practitioner judgments of practical relevance and other relevance measures. Because the index is a work in progress, the authors discuss how to overcome current limitations and suggest correlating the index with citation counts, altmetrics, and readability measures. Marketing practitioners, authors, and journal editors can use the index to assess article relevance, and academic administrators can use it for promotion and tenure decisions (see www.R2Mindex.com). The R2M Index is thus not only a measurement instrument but also a tool for change.","topic modeling, bibliometry",,,,,,,,,,,,,,,,,,,,,,,
68,,2021,"Liu, Xia; Shin, Hyunju; Burns, Alvin C.",Examining the impact of luxury brand's social media marketing on customer engagement​: Using big data analytics and natural language processing,Journal of Business Research,"Big data,Luxury brand,Customer engagement,Social media,Twitter","This research utilizes big data in investigating the impact of a luxury brand's social media marketing activities on customer engagement. In particular, applying the dual perspective of customer engagement, this research examines the influence of focusing on the entertainment, interaction, trendiness, and customization dimensions of a luxury brand's social media activities on customer engagement with brand-related social media content. Using big data retrieved from a 60-month period on Twitter (July 2012 to June 2017), this paper analyzes 3.78 million tweets from the top 15 luxury brands with the highest number of Twitter followers. The results indicate that focusing on the entertainment, interaction, and trendiness dimensions of a luxury brand's social media marketing efforts significantly increases customer engagement, while focusing on the customization dimension does not. The findings have important implications for the design, delivery, and management of social media marketing for luxury brands to engage customers with social media content.",,,,,,,,,,,,,,,,,,,,,,,,
69,,2021,"Luo, Jiaqi; Huang, Songshan (Sam); Wang, Renwu",A fine-grained sentiment analysis of online guest reviews of economy hotels in China,Journal of Hospitality Marketing & Management,"economy hotel,online reviews,guest experience,fine-grained sentiment analysis,deep learning,China","This study aims to investigate the experiences of Chinese economy hotel guests by applying deep learning fine-grained sentiment analysis on 363,723 Chinese-text online reviews. Findings reveal that location is the domain that most of the positive sentiments are associated, followed by facilities, service, price, image, and reservation experience. Prominent features with negative sentiments include sound insulation, air conditioning, beddings, windows, toilets, TV sets, WiFi signals, towels, elevators, hair dryers, slippers, toilet bowls, return cash, invoices. Positive and negative sentiments are compared. This research offers an alternative approach and a more comprehensive understanding of the experiences and sentiments of Chinese economy hotel guests. Theoretical contributions and practical implications regarding economy hotel management are discussed.",,,,,,,,,,,,,,,,,,,,,,,,
70,,2021,"Mangiò, Federico; Pedeliento, Giuseppe; Andreini, Daniela",Branding Rhetoric in Times of a Global Pandemic: A Text-Mining Analysis,Journal of Advertising,"Brand, Nlp, rhetoric","As the Covid-19 pandemic unfolded, academics and practitioners alike wondered how and to what extent brands should adapt their advertising and communication efforts to remain resonant and to engage their audiences. Gathering and processing a unique data set composed of about 12,000 tweets of 76 leading brands associated with seven Italian industries, this research examines how rhetorical appeals that brands adopted evolved on Twitter during the pandemic. Theoretically, the research is grounded on an institutional logic perspective and resorts to the Aristotelian categories of logos, ethos, and pathos to make sense of the rhetorical appeals brands adopted. Methodologically, we relied on the most recent text-mining protocols in marketing studies. Our analyses outline that during the lockdown brands resorted to emotive appeals characterized by intense ethical and social overtones. Regarding consumers’ response in their social media engagement, we find they appreciated this strategy the brands followed.",,,,,,,,,,,,,,,,,,,,,,,,
71,10.1016/j.intmar.2020.06.002,2021,"McShane, Lindsay; Pancer, Ethan; Poole, Maxwell; Deng, Qi","Emoji, Playfulness, and Brand Engagement on Twitter",Journal of Interactive Marketing,"Emoji,Brand engagement, Social media,Playfulness, Twitter, Consumers","Brands, both human and corporate, are increasingly communicating with their consumers using emojis. The current work examines if and how these pictographs shape online brand engagement on Twitter (i.e., likes & retweets). To do so, we first examine datasets generated by scraping the tweets of the most popular celebrity brands and most popular corporate brands (Study 1). This study demonstrates that emoji presence increases engagement with tweets, with more emoji leading to more likes and retweets. Two controlled experiments then explore the role of perceived playfulness in explaining this effect of emojis on engagement (Studies 2 and 3). We find that the effect of emojis on brand engagement varies depending on the nature of the interplay between emojis and text, and the subsequent effect of this interplay on perceived playfulness. Theoretical contributions and social media practitioner implications are also addressed.","count, statistics","emoji, twitter, large sample",,,,,,,,,,,,,,,,,,,,,,
72,,2021,"Melumad, Shiri; Meyer, Robert; Kim, Yoon Duk",The Dynamics of Distortion: How Successive Summarization Alters the Retelling of News,Journal of Marketing Research,"Information sharing, Natural language processing, Mass media -- Social aspects, Social media, Misinformation, information diffusion, retelling, social media, word of mouth","This work advances and tests a theory of how news information evolves as it is successively retold by consumers. Drawing on data from over 11,000 participants across ten experiments, the authors offer evidence that when news is repeatedly retold, it undergoes a stylistic transformation termed ""disagreeable personalization,"" wherein original facts are increasingly supplanted by opinions and interpretations with a slant toward negativity. The central thesis is that when retellers believe they are more (vs. less) knowledgeable than their recipient about the information they are relaying, they feel more compelled to provide guidance on its meaning and to do so in a persuasive manner. This enhanced motivation to guide persuasively, in turn, leads retellers to not only select the subset of facts they deem most essential but, critically, to provide their interpretations and opinions on those facts, with negativity being used as a means of grabbing their audience's attention. Implications of this work for research on retelling and consumer information diffusion are explored.",,,,,,,,,,,,,,,,,,,,,,,,
73,,2021,"Mustak, Mekhail; Salminen, Joni; Plé, Loïc; Wirtz, Jochen","Artificial intelligence in marketing: Topic modeling, scientometric analysis, and research agenda",Journal of Business Research,"Marketing,Artificial intelligence,AI,Natural Language Processing,Big Data,Digital","The rapid advancement of artificial intelligence (AI) offers exciting opportunities for marketing practice and academic research. In this study, through the application of natural language processing, machine learning, and statistical algorithms, we examine extant literature in terms of its dominant topics, diversity, evolution over time, and dynamics to map the existing knowledge base. Ten salient research themes emerge: (1) understanding consumer sentiments, (2) industrial opportunities of AI, (3) analyzing customer satisfaction, (4) electronic word-of-mouth–based insights, (5) improving market performance, (6) using AI for brand management, (7) measuring and enhancing customer loyalty and trust, (8) AI and novel services, (9) using AI to improve customer relationships, and (10) AI and strategic marketing. The scientometric analyses reveal key concepts, keyword co-occurrences, authorship networks, top research themes, landmark publications, and the evolution of the research field over time. With the insights as a foundation, this article closes with a proposed agenda for further research.",,,,,,,,,,,,,,,,,,,,,,,,
74,,2021,"Ngai, Eric W.T.; Lee, Maggie C.M.; Luo, Mei; Chan, Patrick S.L.; Liang, Tenglu",An intelligent knowledge-based chatbot for customer service,Electronic Commerce Research and Applications,"Conversational agent,Chatbot,Knowledge-based system,System design,Case analysis","This study proposes an intelligent knowledge-based conversational agent system architecture to support customer services in e-commerce sales and marketing. A pilot implementation of a chatbot for customer services is reported in a leading women’s intimate apparel manufacturing firm. The proposed system incorporates various emerging technologies, including web crawling, natural language processing, knowledge bases, and artificial intelligence. In this study, a prototype system is built in a real-world setting. The results of the system prototype evaluation are satisfactory and support the contention that the system is effective. The study also discusses the challenges and lessons learned during system implementation and the theoretical and managerial implications of this study.",,,,,,,,,,,,,,,,,,,,,,,,
75,,2021,"Piris, Yolande; Gay, Anne-Cécile",Customer satisfaction and natural language processing,Journal of Business Research,"Satisfaction, Customer experience, Customer voice, NLP,Artificial intelligence","This study uses natural language processing in order to increase knowledge concerning customer satisfaction. A total of 12,000 customer returns were analyzed, 6,800 of which contained freely expressed qualitative feedback. Eight themes emerge from the analysis and bring to light the factors influencing satisfaction. It is also noted that satisfaction is not vertical or horizontal but can involve a more or less important combination of themes. This study also shows the link between the level of satisfaction and the number of themes addressed, thus challenging traditional approaches that do not seem to distinguish the discursive differences between satisfied and dissatisfied customers. Finally, this investigation lays the foundations for automatic and personalized processing of customer comments.",,,,,,,,,,,,,,,,,,,,,,,,
76,,2021,"Ray, Arghya; Bala, Pradip Kumar; Dwivedi, Yogesh K",Exploring values affecting e-Learning adoption from the user-generated-content: A consumption-value-theory perspective,Journal of Strategic Marketing,"e-Learning services, consumption value theory (CVT), latent dirichlet allocation (LDA), natural language processing (NLP)-based approach, topic-modeling,user generated data","The aim of this study is to utilise the user-generated content from social media platforms and merchandise websites to explore various values affecting behavioural intention in context of e-Learning services from the consumption-value-theory perspective. This study has utilised a novel mixed-method approach based on natural language processing (NLP) techniques for the both the qualitative and quantitative analysis. This study has used user-generated content of Coursera (an e-Learning service) consisting of online reviews from Coursera-100 k-dataset and tweets about Coursera. Some of the important themes generated from the thematic-based analysis of tweets are ‘value addition’, ‘course content’, ‘topic cover’, ‘reliability of course’, ‘course quality’, ‘enjoyed course’, ‘recommend the course’, ‘value for money’, ‘facilitator skills’, etc. Results of the empirical study reveal that offers and deals, emotional connect, facilitator quality, course reliability, platform innovativeness, and compatibility are important predictors of behavioural intention. This study concludes with the various limitations and future directions.",,,,,,,,,,,,,,,,,,,,,,,,
77,,2021,"Shen, Zheng",Mining sustainable fashion e-commerce: social media texts and consumer behaviors,Electronic Commerce Research,"Big data,Luxury brand,Customer engagement,Social media,Twitter","This research utilizes big data in investigating the impact of a luxury brand's social media marketing activities on customer engagement. In particular, applying the dual perspective of customer engagement, this research examines the influence of focusing on the entertainment, interaction, trendiness, and customization dimensions of a luxury brand's social media activities on customer engagement with brand-related social media content. Using big data retrieved from a 60-month period on Twitter (July 2012 to June 2017), this paper analyzes 3.78 million tweets from the top 15 luxury brands with the highest number of Twitter followers. The results indicate that focusing on the entertainment, interaction, and trendiness dimensions of a luxury brand's social media marketing efforts significantly increases customer engagement, while focusing on the customization dimension does not. The findings have important implications for the design, delivery, and management of social media marketing for luxury brands to engage customers with social media content.",,"twitter, very large sample, luxury",,,,,,,,,,,,,,,,,,,,,,
78,,2021,"Vadalkar, Suniti; Chavan, Gitesh; Chaudhuri, Ranjan; Vrontis, Demetris","A critical review of international print advertisements: evolutionary analysis, assessment and elucidations, from 1965 to 2020",International Marketing Review,"Print Advertisement, Research, litterature review, Evolution, Vantage point, VOSviewver, spatio-temporal study, mapping","Amidst the plethora of mass communication methods that technology bestowed business with, print advertisements still remain an effective and widely utilized advertising tool, and retain a diachronically venerable position in international marketing practice. Bar and transcending mere academic fascination or curiosity, this research provides insights into the past, an understanding of the present and an outlook into the future. In this vein, through a methodical and comprehensive critical review of extant literature on print advertisements since 1965, this research aims to identify gaps in extant knowledge, to map its trends and divergences, to trace its paradigm shifts and to ultimately develop agendas for truly significant future research. This spatial-temporal study reviews 256 methodically selected articles, using VantagePoint software, and adopts a novel methodology through natural language processing (NLP), text mining, auto-correlation maps, and bubble maps to conduct and present a robust analysis and explicit findings. Using also the VOSviewer for density and network visualization, the results identify the predominant literature themes and, conversely, the relatively under-researched areas, and provide a more insightful collective interpretation of extant works, while laying the foundation for future research of greater value and significance to academia and industry. This study transcends the partial and/or limited analyses and perspectives of extant literature to present scholars with the first comprehensive and long term meta-analysis or systematic study of print advertising, with explicit findings of both scholarly and executive worth.","literature review, VOSviewer",literature review,,,,,,,,,,,,,,,,,,,,,,
79,,2021,"Verma, Sanjeev; Yadav, Neha","Past, Present, and Future of Electronic Word of Mouth (EWOM)",Journal of Interactive Marketing,"Electronic word of mouth (eWOM),Performance analysis,Conceptual structure,Intellectual structure","Communication platforms are undergoing a transition from physical to digital spaces. The Internet has radically changed the business scenario wherein people have become the “media” for collaborating to share information. Practitioners have started using electronic word of mouth (eWOM) for consumer insight through text analytics, sentiment, hashtag analytics, and other machine learning tools. Due to the growing importance of the topic as a research area, it is vital to map the research domain. This paper uses performance analysis tools (quantitative and qualitative) and science mapping tools (conceptual and intellectual structures) for literature review and the identification of future research directions. The content analysis of emergent topics and themes offers directions for future researchers. Recommender systems, data mining (artificial intelligence and machine learning), semantics, and sentiment analysis are emergent topics. We contribute to the eWOM literature by canvassing state-of-the-art research and proposing future research directions.",,,,,,,,,,,,,,,,,,,,,,,,
80,,2021,"Wang, Xin (Shane); He, Jiaxiu; Curry, David J.; Ryoo, Jun Hyun (Joseph)",Attribute Embedding: Learning Hierarchical Representations of Product Attributes from Consumer Reviews,Journal of Marketing,"attribute hierarchy, attribute embedding, machine learning, word2vec, meta-attribute, natural language processing","Sales, product design, and engineering teams benefit immensely from better understanding customer perspectives. How do customers combine a product's technical specifications (i.e., engineered attributes) to form abstract product benefits (i.e., meta-attributes)? To address this question, the authors use machine learning and natural language processing to develop a methodological framework that extracts a hierarchy of product attributes based on contextual information of how attributes are expressed in consumer reviews. The attribute hierarchy reveals linkages between engineered attributes and meta-attributes within a product category, enabling flexible sentiment analysis that can identify how consumers receive meta-attributes, and which engineered attributes are main drivers. The framework can guide managers to monitor only portions of review content that are relevant to specific attributes of interest. Moreover, managers can compare products within and between brands, where different names and attribute combinations are often associated with similar benefits. The authors apply the framework to the tablet computer category to generate dashboards and perceptual maps and provide validations of the attribute hierarchy using both primary and secondary data. Resultant insights allow the exploration of substantive questions, such as how Apple improved successive generations of iPads and why Hewlett-Packard and Toshiba discontinued their tablet product lines.",Word2vec,tablette,,,,,,,,,,,,,,,,,,,,,,
81,,2021,"Woolley, Kaitlin; Sharif, Marissa A.",Incentives Increase Relative Positivity of Review Content and Enjoyment of Review Writing,Journal of Marketing Research,"Labor incentives, Consumer attitudes, Natural language processing, Word of mouth advertising, Positivity effect (Psychology), Emotions, Experience, enjoyment, incentives, motivation, reviews, word of mouth","A series of controlled experiments examine how the strategy of incentivizing reviews influences consumers' expressions of positivity. Incentivized (vs. unincentivized) reviews contained a greater proportion of positive relative to negative emotion across a variety of product and service experiences (e.g., videos, service providers, consumer packaged goods companies). This effect occurred for both financial and nonfinancial incentives and when assessing review content across multiple natural language processing tools and human judgments. Incentives influence review content by modifying the experience of writing reviews. That is, when incentives are associated with review writing, they cause the positive affect that results from receiving an incentive to transfer to the review-writing experience, making review writing more enjoyable. In line with this process, the effect of an incentive on review positivity attenuates when incentives are weakly (vs. strongly) associated with review writing (i.e., incentive for ""participating in an experiment"" vs. ""writing a review"") and when the incentive does not transfer positive affect (i.e., when an incentive is provided by a disliked company). By examining when incentives do (vs. do not) adjust the relative positivity of written reviews, this research offers theoretical insight into the literature on incentives, motivation, and word of mouth, with practical implications for managers.","sentiment analysis, experimental test","experience, incitation, mall sample",,,,,,,,,,,,,,,,,,,,,,
82,,2021,"Xu, Zhenning; Vail, Colin; Kohli, Amarpreet S.; Tajdini, Saeed",Understanding changes in a brand’s core positioning and customer engagement: a sentiment analysis of a brand-owned Facebook site,Journal of Marketing Analytics,"Brand crisis, brand management, consumer sentiment, social media,balance theory, brand personality","The increasing power of social media has created unprecedented opportunities for marketers. In particular, brand-owned social media seems to be an increasingly popular way of enhancing a brand’s position, connecting with customers, and improving customer engagement with the brand. To guide strategic marketing communication decision-making on social media, the current study extends the relationship communication model and offers an analytical workflow to gain new insights from unstructured textual data available on brand-owned social media. The workflow utilizes an eclectic mix of analytical tools such as word clouds, and cluster and word association analyses, which collectively allow for identification of main topics and their temporal evolution in unstructured textual data from a brand’s social media. In doing so, the proposed workflow offers researchers and practitioners a step by step procedure to make sense of such textual data, which may prove unwieldy and overwhelming otherwise. Furthermore, to manifest the utility of the proposed workflow, it is applied to illustrative data collected from a brand’s Facebook page. Results from this example analysis point to a slight fading of the brand’s perceived core position as an event avenue, as well as an evolution of customer sentiments that may reflect different levels and types of customer engagement with the page. Finally, we discuss the implications of our findings for research and brand management practice, as well as the study’s limitations and future research opportunities.","cluster, semantic networks",facebook,,,,,,,,,,,,,,,,,,,,,,
83,,2021,"Zhu, John Jianjun; Chang, Yung-Chun; Ku, Chih-Hao; Li, Stella Yiyan; Chen, Chi-Jen","Online critical review classification in response strategy and service provider rating: Algorithms from heuristic processing, sentiment analysis to deep learning",Journal of Business Research,"Online review,Response strategy,Linguistic feature analysis,Deep learning","This research proposes and tests mechanisms for defining and identifying the critical online consumer reviews that firms could prioritize to optimize their online response strategies, while incorporating the latest artificial intelligence (AI) technology to deal with the overwhelming volume of information. Three sets of analytical tools are introduced: Heuristic Processing, Linguistic Feature Analysis, and Deep Learning-based Natural Language Processing (NLP), to extract review information. Twelve algorithms to classify critical reviews were developed accordingly and empirically tested for their effectiveness. Our econometric analysis of 110,146 online reviews from a chain operation in hospitality industry over seven years identifies six outstanding algorithms. Firm value rating, comment length, valence, and certain consumer emotions, in addition to past comment-response behavior, are found to be superior in predicting incoming review criticality. However, the service attributes such as urgency to reply and the feasibility of actions to take are not as informative.",,"large sample, reviews, hospitality",,,,,,,,,,,,,,,,,,,,,,
84,,2022,"Alantari, Huwail J.; Currim, Imran S.; Deng, Yiting; Singh, Sameer",An empirical comparison of machine learning methods for text-based sentiment analysis of online consumer reviews,International Journal of Research in Marketing,"Automated text analysis, Sentiment analysis, Online reviews,User generated content,Machine learning,Natural language processing","The amount of digital text-based consumer review data has increased dramatically and there exist many machine learning approaches for automated text-based sentiment analysis. Marketing researchers have employed various methods for analyzing text reviews but lack a comprehensive comparison of their performance to guide method selection in future applications. We focus on the fundamental relationship between a consumer’s overall empirical evaluation, and the text-based explanation of their evaluation. We study the empirical tradeoff between predictive and diagnostic abilities, in applying various methods to estimate this fundamental relationship. We incorporate methods previously employed in the marketing literature, and methods that are so far less common in the marketing literature. For generalizability, we analyze 25,241 products in nine product categories, and 260,489 reviews across five review platforms. We find that neural network-based machine learning methods, in particular pre-trained versions, offer the most accurate predictions, while topic models such as Latent Dirichlet Allocation offer deeper diagnostics. However, neural network models are not suited for diagnostic purposes and topic models are ill equipped for making predictions. Consequently, future selection of methods to process text reviews is likely to be based on analysts’ goals of prediction versus diagnostics.",LDA,"e-commerce, reviews",,,,,,,,,,,,,,,,,,,,,,
